,filename,file_type,contig,contig_len,plasmid_name,plasmid_accession,top_hit
25,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/KH_11.contigs.fasta,long,tig00000008,105792.0,IncFIB(AP001918)|IncFIA|IncFII(29),AP001918|CP003035,NZ_CP010345.1
27,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/KH_12.contigs.fasta,long,tig00000004|tig00000003,40106.0,IncFIB(AP001918)|IncFII(pSE11),AP001918|AP009242,NZ_CP035880.1
28,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/KH_13.contigs.fasta,long,tig00000014,159514.0,IncFIB(AP001918)|IncFIA|IncFII,AP001918|AY458016,CP058005.1
29,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/KH_24.contigs.fasta,long,tig00000005,130500.0,IncFIB(AP001918)|IncFII,AP001918|AY458016,NZ_CP078136.1
30,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/KH_24.contigs.fasta,long,tig00000007,131421.0,IncI1-I(Alpha),AP005147,NZ_LT985283.1
31,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/KH_3.contigs.fasta,long,tig00000004,118624.0,IncFIB(AP001918)|IncFIC(FII),AP001918,CP057886.1
32,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/KH_35.contigs.fasta,long,tig00000007,34945.0,IncQ1,M28829,CP052139.1
33,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/KH_35.contigs.fasta,long,tig00000011,274252.0,IncHI1B(R27)|IncHI1A,AF250878,NZ_CP049968.1
34,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/KH_4.contigs.fasta,long,tig00000003,108627.0,IncFIB(AP001918)|IncFII(29),AP001918|CP003035,NZ_CP010345.1
35,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/KH_40.contigs.fasta,long,tig00000006,82150.0,IncFIB(K),JN233704,NZ_CP042496.1
36,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/KH_40.contigs.fasta,long,tig00000014,120691.0,IncFIB(pHCM2),AL513384,NZ_CP040928.1
37,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/KH_45.contigs.fasta,long,tig00000004,141139.0,IncFIB(AP001918)|IncFII(pHN7A8),AP001918|JN232517,NZ_CP039405.1
38,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/KH_48.contigs.fasta,long,tig00000003,129002.0,IncFIB(AP001918)|IncFII(29),AP001918|CP003035,CP077390.1
39,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/KH_5.contigs.fasta,long,tig00000002,156352.0,IncFIB(AP001918)|IncFIC(FII)|IncFIA,AP001918,CP055749.1
40,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/KH_6.contigs.fasta,long,tig00000008,156848.0,IncFIB(AP001918)|IncFIA|IncFII,AP001918|AY458016,CP058005.1
41,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/KH_7.contigs.fasta,long,tig00000024,129987.0,IncI1-I(Alpha),AP005147,NZ_LT985321.1
42,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/KH_7.contigs.fasta,long,tig00000026,63375.0,IncI2(Delta),AP002527,NZ_CP011294.1
43,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/KH_8.contigs.fasta,long,tig00000003,105395.0,IncFIB(AP001918)|IncFIA|IncFII(29),AP001918|CP003035,NZ_CP010345.1
44,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_100_genome.fasta,short,NODE_50_length_35707_cov_27.815967,35707.0,IncX3,JN247852,NZ_AP022058.1
45,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_100_genome.fasta,short,NODE_75_length_17578_cov_27.455806,17578.0,pKPC-CAV1321,CP011611,NZ_CP019987.1
57,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_10_genome.fasta,short,NODE_98_length_42439_cov_28.880382|NODE_104_length_40406_cov_4.964776|NODE_200_length_21763_cov_25.596017|NODE_212_length_20229_cov_3.747862|NODE_2272_length_1481_cov_2.122059|NODE_250_length_16662_cov_5.170365|NODE_283_length_13912_cov_27.853963|NODE_541_length_5987_cov_4.512274|NODE_690_length_4648_cov_3.004860|NODE_714_length_4475_cov_4.765733|NODE_812_length_3987_cov_28.115882|NODE_976_length_3323_cov_29.175203,42439.0,IncFII(K)|IncFII(Yp)|IncR|IncP6|IncHI1B(pNDM-MAR)|IncFIB(pECLA)|IncFIA(HI1)|IncFIB(K)|IncFII(K)|IncFII(pECLA)|IncFII(Yp)|IncFII(pBK30683),CP000648|CP000670|DQ449578|JF785550|JN420336|CP001919|AF250878|JN233704|CP000648|CP001919|CP000670|KF954760,NZ_LR890363.1
61,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_10_plasmid.fasta,short,NODE_240_length_3323_cov_29.175203_component_0,3323.0,IncFII(pBK30683),KF954760,NZ_AP021985.1
63,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_10_plasmid.fasta,short,NODE_79_length_19746_cov_25.448968_component_0|NODE_105_length_13912_cov_27.853963_component_0|NODE_201_length_4648_cov_3.004860_component_0|NODE_222_length_3987_cov_28.115882_component_0|NODE_44_length_49895_cov_28.918632_component_0,19746.0,IncR|IncFIA(HI1)|IncFII(K)|IncFII(Yp)|IncFII(K),DQ449578|AF250878|CP000648|CP000670|CP000648,NZ_MT269846.1
68,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_11_genome.fasta,short,NODE_249_length_12347_cov_4.341813,12347.0,IncFII(pECLA),CP001919,NZ_CP050729.1
73,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_11_genome.fasta,short,NODE_527_length_2017_cov_10.417194|NODE_109_length_42631_cov_29.010939|NODE_117_length_40387_cov_5.406099|NODE_213_length_17327_cov_28.271940|NODE_221_length_15343_cov_4.991591|NODE_285_length_8675_cov_28.490765|NODE_329_length_6426_cov_6.290087|NODE_411_length_3987_cov_28.466374|NODE_431_length_3323_cov_27.726733,2017.0,IncFIB(K)|IncFII(K)|IncFII(Yp)|IncR|IncFIB(pECLA)|IncFIA(HI1)|IncFIA(HI1)|IncFII(Yp)|IncFII(pBK30683),JN233704|CP000648|CP000670|DQ449578|CP001919|AF250878|AF250878|CP000670|KF954760,NZ_LT883141.1
74,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_11_plasmid.fasta,short,NODE_175_length_12347_cov_4.341813_component_0,12347.0,IncFII(pECLA),CP001919,NZ_CP050729.1
77,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_11_plasmid.fasta,short,NODE_217_length_6426_cov_6.290087_component_0|NODE_178_length_11960_cov_27.900329_component_0|NODE_198_length_8675_cov_28.490765_component_0|NODE_268_length_3987_cov_28.466374_component_0|NODE_69_length_42631_cov_29.010939_component_0|NODE_74_length_40387_cov_5.406099_component_0,6426.0,IncFIA(HI1)|IncR|IncFIA(HI1)|IncFII(Yp)|IncFII(K)|IncFII(Yp),AF250878|DQ449578|AF250878|CP000670|CP000648|CP000670,NZ_AP022113.1
79,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_11_plasmid.fasta,short,NODE_281_length_3323_cov_27.726733_component_0,3323.0,IncFII(pBK30683),KF954760,NZ_AP021985.1
82,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_12_genome.fasta,short,NODE_18_length_92660_cov_26.609376,92660.0,IncFIB(K),JN233704,NZ_CP029448.1
83,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_12_genome.fasta,short,NODE_31_length_15307_cov_26.732319,15307.0,IncR,DQ449578,NZ_CP035198.1
89,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_13_genome.fasta,short,NODE_91_length_16336_cov_29.428800|NODE_102_length_15801_cov_29.091454|NODE_37_length_44128_cov_6.342036|NODE_39_length_41641_cov_29.561946|NODE_43_length_37852_cov_3.678779|NODE_68_length_22324_cov_29.160339,16336.0,IncFIA(HI1)|IncFIB(pECLA)|IncFII(pBK30683)|IncFII(Yp)|IncFII(K)|IncFII(pECLA),AF250878|CP001919|KF954760|CP000670|CP000648|CP001919,NZ_CP077412.1
92,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_13_plasmid.fasta,short,NODE_54_length_22324_cov_29.160339_component_0|NODE_38_length_41641_cov_29.561946_component_0|NODE_43_length_35114_cov_29.523705_component_0,22324.0,IncFII(pECLA)|IncFII(Yp)|IncFIA(HI1),CP001919|CP000670|AF250878,KM877269.1
96,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_14_genome.fasta,short,NODE_702_length_4307_cov_25.574056,4307.0,IncFIB(pB171),AB024946,NZ_AP022257.1
97,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_14_genome.fasta,short,NODE_951_length_3306_cov_1.570801|NODE_138_length_12477_cov_25.238589|NODE_306_length_8022_cov_25.138210|NODE_64_length_18151_cov_6.545917,3306.0,IncFIA(HI1)|IncR|IncFIB(K)|IncP6,AF250878|DQ449578|JN233704|JF785550,NZ_CP058961.1
101,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_14_plasmid.fasta,short,NODE_75_length_4307_cov_25.574056_component_0,4307.0,IncFIB(pB171),AB024946,NZ_AP022257.1
102,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_14_plasmid.fasta,short,NODE_82_length_3306_cov_1.570801_component_0|NODE_36_length_18151_cov_6.545917_component_3|NODE_44_length_12477_cov_25.238589_component_0|NODE_55_length_8022_cov_25.138210_component_0,3306.0,IncFIA(HI1)|IncP6|IncR|IncFIB(K),AF250878|JF785550|DQ449578|JN233704,NZ_CP058961.1
105,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_15_genome.fasta,short,NODE_24_length_16884_cov_23.990634|NODE_18_length_34432_cov_27.022646|NODE_23_length_18870_cov_4.346098,16884.0,IncFIA(HI1)|pKPC-CAV1321|IncP6,AF250878|CP011611|JF785550,NZ_CP070545.1
106,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_15_plasmid.fasta,short,NODE_1_length_18870_cov_4.346098_component_0,18870.0,IncP6,JF785550,NZ_KX810825.1
108,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_16_genome.fasta,short,NODE_48_length_18151_cov_26.367831|NODE_28_length_62515_cov_27.361285,18151.0,IncP6|pKPC-CAV1321,JF785550|CP011611,NZ_KX810825.1
109,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_17_genome.fasta,short,NODE_1750_length_1511_cov_1.707721,1511.0,IncFIA(HI1),AF250878,NZ_MT219824.1
111,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_17_genome.fasta,short,NODE_4075_length_838_cov_1.407252,838.0,IncFIB(K),JN233704,
112,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_17_genome.fasta,short,NODE_5216_length_687_cov_1.625442,687.0,IncR,DQ449578,
113,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_17_genome.fasta,short,NODE_83_length_18857_cov_6.572641|NODE_3142_length_1013_cov_1.423767,18857.0,IncP6|pKPC-CAV1321,JF785550|CP011611,NZ_KX810825.1
114,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_17_plasmid.fasta,short,NODE_213_length_1511_cov_1.707721_component_0,1511.0,IncFIA(HI1),AF250878,NZ_MT219824.1
115,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_17_plasmid.fasta,short,NODE_72_length_18857_cov_6.572641_component_2,18857.0,IncP6,JF785550,NZ_KX810825.1
119,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_18_genome.fasta,short,NODE_876_length_3647_cov_2.963415|NODE_1176_length_2900_cov_4.215545|NODE_171_length_18151_cov_10.493925|NODE_314_length_8672_cov_2.171325,3647.0,IncFIB(K)|IncFIA(HI1)|IncP6|IncR,JN233704|AF250878|JF785550|DQ449578,CP056626.1
120,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_18_plasmid.fasta,short,NODE_66_length_18151_cov_10.493925_component_1,18151.0,IncP6,JF785550,NZ_KX810825.1
127,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_19_genome.fasta,short,NODE_3057_length_852_cov_2.589603,852.0,IncFIB(pB171),AB024946,
129,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_19_genome.fasta,short,NODE_798_length_4171_cov_4.176790|NODE_138_length_18151_cov_6.020578|NODE_13_length_83544_cov_27.232802|NODE_1600_length_1881_cov_9.656250|NODE_203_length_13681_cov_6.351032|NODE_210_length_13296_cov_27.351347|NODE_273_length_10850_cov_25.340479|NODE_408_length_7996_cov_24.123429|NODE_7_length_134066_cov_26.750510,4171.0,IncFIB(K)|IncP6|IncHI1B(pNDM-CIT)|IncFIA(HI1)|IncR|IncFII(pECLA)|repE(pEh60-7)|IncFIB(pQil)|IncHI1A(NDM-CIT),JN233704|JF785550|JX182975|AF250878|DQ449578|CP001919|CP088228|JN233705|JX182975,NZ_CP056366.1
136,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_19_plasmid.fasta,short,NODE_92_length_10850_cov_25.340479_component_0|NODE_106_length_7996_cov_24.123429_component_0|NODE_16_length_83544_cov_27.232802_component_0|NODE_62_length_18151_cov_6.020578_component_0|NODE_71_length_13681_cov_6.351032_component_0|NODE_73_length_13296_cov_27.351347_component_0|NODE_9_length_134066_cov_26.750510_component_0,10850.0,repE(pEh60-7)|IncFIB(pQil)|IncHI1B(pNDM-CIT)|IncP6|IncR|IncFII(pECLA)|IncHI1A(NDM-CIT),CP088228|JN233705|JX182975|JF785550|DQ449578|CP001919|JX182975,NZ_CP022534.1
138,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_1_genome.fasta,short,NODE_1739_length_2674_cov_5.200548,2674.0,IncFIB(pB171),AB024946,NZ_AP022257.1
145,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_1_genome.fasta,short,NODE_909_length_6220_cov_25.444007|NODE_2815_length_1436_cov_3.481369|NODE_3304_length_1246_cov_2.518222|NODE_342_length_18151_cov_26.480352|NODE_532_length_11544_cov_25.947212|NODE_65_length_58003_cov_26.999482|NODE_783_length_7526_cov_3.734369|NODE_939_length_5999_cov_2.775774,6220.0,IncFIB(K)|IncR|IncFIA(pBK30683)|IncP6|IncR|pKPC-CAV1321|IncN|IncFII(pBK30683),JN233704|DQ449578|KF954760|JF785550|DQ449578|CP011611|AY046276|KF954760,NZ_CP056712.1
150,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_1_plasmid.fasta,short,NODE_85_length_18151_cov_26.480352_component_0|NODE_141_length_11544_cov_25.947212_component_0|NODE_209_length_6220_cov_25.444007_component_0|NODE_30_length_52792_cov_27.026124_component_0,18151.0,IncP6|IncR|IncFIB(K)|pKPC-CAV1321,JF785550|DQ449578|JN233704|CP011611,NZ_KX810825.1
153,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_20_genome.fasta,short,NODE_1701_length_2323_cov_2.644414,2323.0,IncFIB(pB171),AB024946,CP057747.1
156,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_20_genome.fasta,short,NODE_3010_length_994_cov_1.513173,994.0,IncHI1B(pNDM-CIT),JX182975,
157,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_20_genome.fasta,short,NODE_527_length_7599_cov_25.547071|NODE_1189_length_3466_cov_23.140508|NODE_130_length_24490_cov_26.247979|NODE_195_length_18151_cov_6.002134|NODE_2706_length_1201_cov_1.411111,7599.0,IncFIB(K)|IncFIA(HI1)|IncR|IncP6|IncFII(pECLA),JN233704|AF250878|DQ449578|JF785550|CP001919,NZ_CP056366.1
160,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_20_plasmid.fasta,short,NODE_81_length_7599_cov_25.547071_component_0|NODE_57_length_24490_cov_26.247979_component_0|NODE_62_length_18151_cov_6.002134_component_0,7599.0,IncFIB(K)|IncR|IncP6,JN233704|DQ449578|JF785550,NZ_CP056366.1
168,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_21_genome.fasta,short,NODE_4564_length_963_cov_1.351544,963.0,IncFIB(pENTAS01),CP003027,
169,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_21_genome.fasta,short,NODE_783_length_4488_cov_1.797344|NODE_1114_length_3321_cov_2.382188|NODE_160_length_19941_cov_29.176942|NODE_2265_length_1781_cov_1.407831|NODE_339_length_9618_cov_27.946404|NODE_447_length_7485_cov_28.756111,4488.0,IncR|IncFIB(K)|IncHI1B(pNDM-CIT)|IncP6|IncN|pKP1433,DQ449578|JN233704|JX182975|JF785550|AY046276|JX397875,NZ_CP058168.1
170,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_21_genome.fasta,short,NODE_979_length_3732_cov_2.742731|NODE_1151_length_3248_cov_4.318836|NODE_32_length_67894_cov_29.650997,3732.0,IncFIB(pB171)|IncFIA(HI1)|IncHI1A(NDM-CIT),AB024946|AF250878|JX182975,CP057747.1
171,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_21_plasmid.fasta,short,NODE_113_length_9618_cov_27.946404_component_0|NODE_123_length_7485_cov_28.756111_component_0|NODE_28_length_64645_cov_29.659987_component_0|NODE_87_length_19941_cov_29.176942_component_0,9618.0,IncN|pKP1433|IncHI1A(NDM-CIT)|IncHI1B(pNDM-CIT),AY046276|JX397875|JX182975|JX182975,NZ_CP009874.1
176,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_22_genome.fasta,short,NODE_3436_length_696_cov_1.280000,696.0,IncR,DQ449578,
183,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_22_genome.fasta,short,NODE_93_length_19643_cov_29.553273|NODE_1142_length_1661_cov_0.976623|NODE_533_length_3113_cov_3.051136|NODE_56_length_73207_cov_29.456900|NODE_66_length_50538_cov_29.365412|NODE_840_length_2162_cov_2.073493|NODE_92_length_22120_cov_28.604664,19643.0,repB(R1701)|IncFIA(HI1)|IncFIB(pB171)|IncFII(Yp)|IncFII(pKPX1)|IncFII(pBK30683)|IncFIB(K),CP039970|AF250878|AB024946|CP000670|AP012055|KF954760|JN233704,NZ_CP033755.1
187,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_22_plasmid.fasta,short,NODE_41_length_19643_cov_29.553273_component_0|NODE_24_length_73207_cov_29.456900_component_0|NODE_26_length_58017_cov_28.040245_component_0|NODE_27_length_50454_cov_29.354400_component_0,19643.0,repB(R1701)|IncFII(Yp)|IncFIB(K)|IncFII(pKPX1),CP039970|CP000670|JN233704|AP012055,NZ_CP033755.1
192,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_23_genome.fasta,short,NODE_218_length_11309_cov_2.393010|NODE_103_length_24816_cov_17.613444|NODE_105_length_24437_cov_18.621155|NODE_140_length_17201_cov_13.526874|NODE_150_length_16175_cov_3.997695|NODE_79_length_33515_cov_29.145415|NODE_98_length_26618_cov_12.314300,11309.0,IncFIA(HI1)|IncR|IncFII(pECLA)|repE(pEh60-7)|IncFII(Yp)|IncFIB(pB171)|pKPC-CAV1321,AF250878|DQ449578|CP001919|CP088228|CP000670|AB024946|CP011611,NZ_CP064259.1
199,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_23_plasmid.fasta,short,NODE_70_length_13866_cov_16.696544_component_0|NODE_105_length_11309_cov_2.393010_component_68|NODE_19_length_26618_cov_12.314300_component_1|NODE_43_length_17211_cov_13.530193_component_0|NODE_51_length_16175_cov_3.997695_component_52,13866.0,IncFII(pECLA)|IncFIA(HI1)|pKPC-CAV1321|repE(pEh60-7)|IncFII(Yp),CP001919|AF250878|CP011611|CP088228|CP000670,NZ_CP033798.1
206,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_24_genome.fasta,short,NODE_4010_length_774_cov_1.465544,774.0,IncFIB(pENTAS01),CP003027,
209,/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_24_genome.fasta,short,NODE_608_length_9184_cov_2.974512,9184.0,IncFII(Yp),CP000670,NZ_CP056664.1
